"PROVMUN","whichMax","Max","pcMax"
"14074","PSOE",920,40.0173988690735
"14075","PSOE",215,37.5874125874126
"18001","PSOE",92,36.6533864541833
"18002","PSOE",247,44.6654611211573
"18003","ABS",4202,29.9671944087862
"18004","PP",242,33.8935574229692
"18005","PSOE",157,42.2043010752688
"18006","ABS",1266,30.6537530266344
"18007","PSOE",287,36.7477592829705
"18010","PSOE",172,30.3886925795053
"18011","ABS",1320,30.4498269896194
"18012","PP",697,30.5970149253731
"18013","ABS",1233,29.2249348186774
"18014","ABS",2036,30.9375474851846
"18015","PSOE",159,36.6359447004608
"18016","PSOE",112,36.4820846905537
"18017","ABS",6603,36.4544802075857
"18018","PSOE",215,33.9116719242902
"18020","ABS",342,33.2684824902724
"18021","ABS",5816,33.262796682871
"18022","ABS",5025,37.4106611078023
"18023","ABS",4881,31.1785372085596
"18024","PSOE",236,27.6023391812865
"18025","PSOE",115,39.9305555555556
"18027","ABS",870,33.852140077821
"18028","PP",356,38.3620689655172
"18029","ABS",643,35.0791052918713
"18030","ABS",167,28.9930555555556
"18032","ABS",72,29.2682926829268
"18033","PSOE",107,37.9432624113475
"18034","ABS",141,27.9207920792079
"18035","PP",420,34.0909090909091
"18036","PP",1145,29.7325370033757
"18037","PP",160,29.9065420560748
"18038","PSOE",374,35.0844277673546
"18039","ABS",1112,31.8624641833811
"18040","ABS",98,42.4242424242424
"18042","PP",99,24.5657568238213
"18043","ABS",44,35.7723577235772
"18044","ABS",74,40.8839779005525
"18045","PSOE",385,34.1918294849023
"18046","ABS",692,37.7729257641921
"18047","ABS",2046,34.6603421988819
"18048","ABS",725,30.3728529534981
"18049","PSOE",178,29.9159663865546
"18050","ABS",558,32.6315789473684
"18051","PSOE",444,38.7096774193548
"18053","ABS",554,33.9877300613497
"18054","PP",262,30.8598351001178
"18056","PSOE",1041,29.4900849858357
"18057","ABS",1514,28.5391140433553
"18059","ABS",1310,31.3397129186603
"18061","PP",321,30.3689687795648
"18062","ABS",3232,31.0978543250265
"18063","ABS",525,43.75
"18064","PSOE",129,34.2175066312997
"18065","UP",233,37.7022653721683
"18066","ABS",723,34.3141907925961
"18067","ABS",236,33.6182336182336
"18068","PP",456,29.0630975143403
"18069","ABS",145,28.8844621513944
"18070","PP",85,29.5138888888889
"18071","ABS",1594,28.5714285714286
"18072","ABS",247,37.0314842578711
"18074","PSOE",94,35.8778625954198
"18076","PSOE",362,45.0248756218905
"18078","PSOE",267,36.4754098360656
"18079","PSOE",1252,36.3847718686428
"18082","ABS",250,29.0360046457607
"18083","PP",94,38.0566801619433
"18084","ABS",1182,27.7660324171952
"18085","PSOE",234,32.5
"18086","PSOE",187,53.5816618911175
"18087","PP",57523,31.11672490831
"18088","PSOE",453,29.3964957819598
"18089","ABS",4620,31.3880019023031
"18093","ABS",974,35.4181818181818
"18094","PP",739,31.3268334039847
"18095","PSOE",566,28.7747839349263
"18096","PSOE",134,39.2961876832845
"18097","ABS",275,28.6458333333333
"18098","ABS",1974,32.1760391198044
"18099","PSOE",406,25.6475047378395
"18100","PSOE",2443,31.2924298706289
"18101","ABS",2705,29.1958985429034
"18102","ABS",2896,34.4761904761905
"18103","PSOE",277,36.5918097754293
"18105","ABS",1363,36.0296061326989
"18106","PSOE",136,32
"18107","PSOE",346,36.6914103923648
"18108","PSOE",263,30.9411764705882
"18109","PP",204,34.1708542713568
"18111","ABS",829,29.9819168173599
"18112","ABS",40,32.7868852459016
"18114","PSOE",187,30.7060755336617
"18115","ABS",772,30.2389345867607
"18116","ABS",825,28.9473684210526
"18117","PSOE",171,33.7944664031621
"18119","PSOE",464,27.262044653349
"18120","PSOE",135,51.1363636363636
"18121","PSOE",32,24.8062015503876
"18122","ABS",5169,32.077696413057
"18123","PSOE",107,35.5481727574751
"18124","PP",173,45.4068241469816
"18126","ABS",409,27.5792312879299
"18127","ABS",5303,31.8785692816351
"18128","PP",111,32.3615160349854
"18132","PSOE",1286,39.0762686113643
"18133","PP",808,37.2693726937269
"18134","ABS",2028,34.7975291695264
"18135","ABS",1607,35.1795096322242
"18136","PSOE",732,39.5461912479741
"18137","PP",380,38.422649140546
