"codEst";"codParam";"month";"day";"year";"dat"
"28079004";"06";"07";31;2016;0,3
"28079004";"06";"08";1;2016;0,3
"28079004";"06";"08";2;2016;0,2
"28079004";"06";"08";3;2016;0,3
"28079004";"06";"08";4;2016;0,4
"28079004";"06";"08";5;2016;0,3
"28079004";"06";"08";6;2016;0,2
"28079004";"06";"08";7;2016;0,2
"28079004";"06";"08";8;2016;0,3
"28079004";"06";"08";9;2016;0,2
"28079004";"06";"08";10;2016;0,3
"28079004";"06";"08";11;2016;0,3
"28079004";"06";"08";12;2016;0,3
"28079004";"06";"08";13;2016;0,2
"28079004";"06";"08";14;2016;0,3
"28079004";"06";"08";15;2016;0,3
"28079004";"06";"08";16;2016;0,4
"28079004";"06";"08";17;2016;0,4
"28079004";"06";"08";18;2016;0,4
"28079004";"06";"08";19;2016;0,4
"28079004";"06";"08";20;2016;0,3
"28079004";"06";"08";21;2016;0,2
"28079004";"06";"08";22;2016;0,2
"28079004";"06";"08";23;2016;0,3
"28079004";"06";"08";24;2016;0,3
"28079004";"06";"08";25;2016;0,4
"28079004";"06";"08";26;2016;0,3
"28079004";"06";"08";27;2016;0,3
"28079004";"06";"08";28;2016;0,3
"28079004";"06";"08";29;2016;0,4
"28079004";"06";"08";30;2016;0,4
"28079004";"06";"08";31;2016;0,3
"28079004";"06";"09";1;2016;0,3
"28079004";"06";"09";2;2016;0,2
"28079004";"06";"09";3;2016;0,3
"28079004";"06";"09";4;2016;0,2
"28079004";"06";"09";5;2016;0,3
"28079004";"06";"09";6;2016;0,4
"28079004";"06";"09";7;2016;0,6
"28079004";"06";"09";8;2016;0,5
"28079004";"06";"09";9;2016;0,5
"28079004";"06";"09";10;2016;0,4
"28079004";"06";"09";11;2016;0,3
"28079004";"06";"09";12;2016;0,5
"28079004";"06";"09";13;2016;0,6
"28079004";"06";"09";14;2016;0,3
"28079004";"06";"09";15;2016;0,3
"28079004";"06";"09";16;2016;0,3
"28079004";"06";"09";17;2016;0,3
"28079004";"06";"09";18;2016;0,2
"28079004";"06";"09";19;2016;0,3
"28079004";"06";"09";20;2016;0,5
"28079004";"06";"09";21;2016;0,5
"28079004";"06";"09";22;2016;0,6
"28079004";"06";"09";23;2016;0,4
"28079004";"06";"09";24;2016;0,2
"28079004";"06";"09";25;2016;0,4
"28079004";"06";"09";26;2016;0,6
"28079004";"06";"09";27;2016;0,6
"28079004";"06";"09";28;2016;0,6
"28079004";"06";"09";29;2016;0,6
"28079004";"06";"09";30;2016;0,5
"28079004";"06";"10";1;2016;0,3
"28079004";"06";"10";2;2016;0,4
"28079004";"06";"10";3;2016;0,6
"28079004";"06";"10";4;2016;0,7
"28079004";"06";"10";5;2016;0,7
"28079004";"06";"10";6;2016;0,6
"28079004";"06";"10";7;2016;0,3
"28079004";"06";"10";8;2016;0,2
"28079004";"06";"10";9;2016;0,3
"28079004";"06";"10";10;2016;0,7
"28079004";"06";"10";11;2016;0,8
"28079004";"06";"10";12;2016;0,9
"28079004";"06";"10";13;2016;1,1
"28079004";"06";"10";14;2016;0,8
"28079004";"06";"10";15;2016;0,6
"28079004";"06";"10";16;2016;0,6
"28079004";"06";"10";17;2016;0,6
"28079004";"06";"10";18;2016;0,6
"28079004";"06";"10";19;2016;0,7
"28079004";"06";"10";20;2016;0,3
"28079004";"06";"10";21;2016;0,5
"28079004";"06";"10";22;2016;0,6
"28079004";"06";"10";23;2016;0,4
"28079004";"06";"10";24;2016;0,3
"28079004";"06";"10";25;2016;0,2
"28079004";"06";"10";26;2016;0,4
"28079004";"06";"10";27;2016;0,3
"28079004";"06";"10";28;2016;0,4
"28079004";"06";"10";29;2016;0,4
"28079004";"06";"10";30;2016;0,5
"28079004";"06";"10";31;2016;0,5
"28079004";"06";"11";1;2016;0,5
"28079004";"06";"11";2;2016;0,4
"28079004";"06";"11";3;2016;0,3
"28079004";"06";"11";4;2016;0,4
"28079004";"06";"11";5;2016;0,5
"28079004";"06";"11";6;2016;0,4
"28079004";"06";"11";7;2016;0,7
"28079004";"06";"11";8;2016;0,6
"28079004";"06";"11";9;2016;0,6
"28079004";"06";"11";10;2016;0,7
"28079004";"06";"11";11;2016;0,8
"28079004";"06";"11";12;2016;0,4
"28079004";"06";"11";13;2016;0,3
"28079004";"06";"11";14;2016;0,3
"28079004";"06";"11";15;2016;0,4
"28079004";"06";"11";16;2016;0,5
"28079004";"06";"11";17;2016;0,6
"28079004";"06";"11";18;2016;0,5
"28079004";"06";"11";19;2016;0,4
"28079004";"06";"11";20;2016;0,4
"28079004";"06";"11";21;2016;0,4
"28079004";"06";"11";22;2016;0,5
"28079004";"06";"11";23;2016;0,4
"28079004";"06";"11";24;2016;0,7
"28079004";"06";"11";25;2016;0,9
"28079004";"06";"11";26;2016;0,7
"28079004";"06";"11";27;2016;0,8
"28079004";"06";"11";28;2016;0,9
"28079004";"06";"11";29;2016;1
"28079004";"06";"11";30;2016;1
"28079004";"06";"12";1;2016;1
"28079004";"06";"12";2;2016;0,5
"28079004";"06";"12";3;2016;0,8
"28079004";"06";"12";4;2016;0,7
"28079004";"06";"12";5;2016;0,9
"28079004";"06";"12";6;2016;0,6
"28079004";"06";"12";7;2016;0,8
"28079004";"06";"12";8;2016;1
"28079004";"06";"12";9;2016;0,8
"28079004";"06";"12";10;2016;0,6
"28079004";"06";"12";11;2016;0,5
"28079004";"06";"12";12;2016;0,3
"28079004";"06";"12";13;2016;0,3
"28079004";"06";"12";14;2016;0,2
"28079004";"06";"12";15;2016;0,3
"28079004";"06";"12";16;2016;0,2
"28079004";"06";"12";17;2016;0,3
"28079004";"06";"12";18;2016;0,4
"28079004";"06";"12";19;2016;0,5
"28079004";"06";"12";20;2016;0,8
"28079004";"06";"12";21;2016;1,5
"28079004";"06";"12";22;2016;1,1
"28079004";"06";"12";23;2016;1
"28079004";"06";"12";24;2016;0,5
"28079004";"06";"12";25;2016;0,7
"28079004";"06";"12";26;2016;0,7
"28079004";"06";"12";27;2016;0,8
"28079004";"06";"12";28;2016;0,7
"28079004";"06";"12";29;2016;0,5
"28079004";"06";"12";30;2016;0,6
"28079004";"06";"12";31;2016;0,8
"28079004";"07";"01";1;2016;28
"28079004";"07";"01";2;2016;79
"28079004";"07";"01";3;2016;102
"28079004";"07";"01";4;2016;33
"28079004";"07";"01";5;2016;57
"28079004";"07";"01";6;2016;18
"28079004";"07";"01";7;2016;19
